ticket_id,ticket_text,category,priority,confidence,reasoning,rule_triggered,needs_human_review
1,My login isn't working and I have a demo in 10 minutes!,Access Issue,High,1.0,"The user is unable to log in and has a time-sensitive deadline, indicating an urgent blocker.",none,False
2,"The dashboard has been down for the last 20 minutes, no one on my team can access it.",Outage,High,1.0,"The user reported a complete service unavailability for their entire team lasting for 20 minutes, which constitutes a critical outage.",outage_keyword_override,False
3,How do I export my report to Excel? Can't find the button.,How-To Question,Low,0.95,"The user is asking for assistance on how to perform a specific action (exporting to Excel) within the application, which is a standard 'how-to' query.",none,False
4,App crashes every time I click 'Save' on the settings page.,Bug,High,0.98,"The user is reporting a specific, repeatable software crash when performing a primary action, which indicates a critical application defect.",none,False
5,Can you add dark mode to the app? Would be a nice to have.,Other,Low,0.95,The request is a feature suggestion rather than a bug report or support issue.,none,False
6,"I was charged twice for my subscription this month, please refund one charge.",Billing,High,1.0,"The user is reporting a double charge on their subscription, which is a clear billing error requiring immediate financial adjustment.",none,False
7,Getting a 403 Forbidden error when trying to open any project.,Access Issue,High,0.98,"The user is reporting a 403 Forbidden error, which is a classic HTTP status code indicating an access control issue preventing the user from viewing or opening projects.",none,False
8,Where can I find the API documentation for webhooks?,How-To Question,Low,0.98,"The user is asking for the location of documentation, which is a standard informational query about how to use the service.",none,False
9,"Entire team locked out of the platform since this morning, this is blocking our whole workflow.",Access Issue,High,1.0,"The user explicitly states the entire team is locked out of the platform, which constitutes a critical access issue that prevents all work, justifying a high priority.",outage_keyword_override,False
10,"Just wanted to say the new update looks great, no issues to report.",Other,Low,1.0,"The user is providing positive feedback and explicitly states there are no issues, which does not fit into any support-related category.",none,False
