ticket_id,ticket_text
1,"My login isn't working and I have a demo in 10 minutes!"
2,"The dashboard has been down for the last 20 minutes, no one on my team can access it."
3,"How do I export my report to Excel? Can't find the button."
4,"App crashes every time I click 'Save' on the settings page."
5,"Can you add dark mode to the app? Would be a nice to have."
6,"I was charged twice for my subscription this month, please refund one charge."
7,"Getting a 403 Forbidden error when trying to open any project."
8,"Where can I find the API documentation for webhooks?"
9,"Entire team locked out of the platform since this morning, this is blocking our whole workflow."
10,"Just wanted to say the new update looks great, no issues to report."
